TCGA_barcode	22RV1	DU145	LNCAPCLONEFGC	MDAPCA2B	NCIH660	PC3	VCAP
TCGA-HC-7819-01	0.62098734805432	0.63245905637099	0.661444268394048	0.67701391628584	0.586778862085839	0.592667995958469	0.714173431437331
TCGA-HC-7820-01	0.629256425243583	0.618244284362719	0.670466198015424	0.679689085494691	0.582632720204794	0.587658237989852	0.718911442584866
TCGA-HC-7821-01	0.5994649036276	0.613203088549673	0.633057252935719	0.638611821217505	0.578683170172266	0.580085477591511	0.689468293868754
TCGA-HC-8213-01	0.581763670454803	0.610033871056418	0.626962728706044	0.642351876390989	0.552391357193597	0.580371949396916	0.678901163005964
TCGA-HC-8216-01	0.621198963241732	0.622853144638272	0.66241910147665	0.682929548736001	0.580901913899495	0.605419922966935	0.696949244414289
TCGA-HC-8256-01	0.643270503173913	0.622393207118031	0.685409462079846	0.69592614540834	0.582894268545669	0.59472815406186	0.708513449158935
TCGA-HC-8257-01	0.627302013969029	0.643697246609498	0.660783777225644	0.661154129685679	0.607808438984648	0.602029376106108	0.720700052231669
TCGA-HC-8259-01	0.60429834755263	0.621422681737914	0.647476286226777	0.663685526326313	0.574224786349691	0.592345297914873	0.699427332933607
TCGA-HC-8260-01	0.629939986311747	0.629361589160522	0.680234769954642	0.691989769685157	0.592733037250153	0.607816270599922	0.720462784805763
TCGA-HC-8261-01	0.614953811924785	0.615919982333661	0.667566595238324	0.667380964966474	0.561807890133477	0.600897901703641	0.691410883732816
TCGA-HC-8262-01	0.628289296013212	0.636250037707609	0.675142056801137	0.691381994081319	0.601134568997904	0.614482881891538	0.731153267127166
TCGA-HC-8264-01	0.601937414047056	0.600502213617312	0.646046885281072	0.657423521974077	0.562641596973241	0.597812215098853	0.661214725766835
TCGA-HC-8265-01	0.62855067845184	0.643917715914733	0.673070051614596	0.679133994233613	0.600712486502696	0.617470322638043	0.704489619251207
TCGA-HC-8266-01	0.635738396446544	0.63484303633867	0.680796923154226	0.678690245688487	0.592692230125956	0.607331629533565	0.717869186723397
TCGA-HC-A48F-01	0.601382800554428	0.618205371354373	0.647788555413687	0.647653431718244	0.57271387599788	0.589417114521556	0.696441696462192
TCGA-HC-A4ZV-01	0.617302892996106	0.630343713345424	0.67720739792312	0.677216218669054	0.585870526883234	0.619680243483885	0.685729943446364
TCGA-HC-A631-01	0.606887090048017	0.635504438578637	0.665866687929114	0.665527551587677	0.586745925592504	0.628071206917266	0.685536587897816
TCGA-HC-A632-01	0.585678404398589	0.605475380123337	0.636919329765444	0.63364534148153	0.569490735966248	0.586857587352399	0.686339494783579
TCGA-HC-A6AL-01	0.580795968169794	0.599954407053271	0.633549658393422	0.650092184140943	0.555655496476529	0.586973835735149	0.667629141819271
TCGA-HC-A6AN-01	0.565700750090441	0.600366068328008	0.637298874417219	0.630081070011261	0.542659216917789	0.581152558776357	0.673755127078538
TCGA-HC-A6AO-01	0.547222745560158	0.572504439921273	0.620686812649519	0.62758939510728	0.520718655767881	0.56695667589776	0.63815212484648
TCGA-HC-A6AP-01	0.571159676257946	0.59517374548825	0.637090439759488	0.637663360087644	0.538685819252716	0.579251844295604	0.651901873354104
TCGA-HC-A6AQ-01	0.592072926464442	0.598762230227001	0.66145251700755	0.661058843257263	0.558826993415363	0.58735537786993	0.686395730394467
TCGA-HC-A6HX-01	0.593230234112757	0.601446382502613	0.649059468397382	0.660778120664247	0.556559103575229	0.591885495497494	0.684145640960051
TCGA-HC-A6HY-01	0.589405151052434	0.614630694581421	0.642733189273275	0.650817280103703	0.568343773426296	0.587015582801412	0.702486925110979
TCGA-HC-A76W-01	0.604501878619299	0.614054169309006	0.63726231333425	0.645489447125001	0.557397649088045	0.596157087735468	0.669881317606657
TCGA-HC-A76X-01	0.628776814450751	0.631026188640935	0.668867968109052	0.671312699782176	0.582455286262304	0.604833685284907	0.729154492085501
TCGA-HC-A8CY-01	0.582974050784607	0.588001964453548	0.650085662580774	0.670615894810685	0.554163252569617	0.580862745838859	0.676285584897021
TCGA-HC-A8D0-01	0.623004314101906	0.652245439715992	0.678748201820513	0.678404872699056	0.599659031551251	0.631607523804167	0.715060919217559
TCGA-HC-A8D1-01	0.6224076520826	0.643495285936034	0.674515494484219	0.680844941916033	0.596263718257364	0.611864072247175	0.720047437208892
TCGA-HC-A9TE-01	0.592198384109847	0.611116304734605	0.641660535334268	0.635667688083162	0.577543394050532	0.594946221741461	0.682448158880445
TCGA-HC-A9TH-01	0.575807040208367	0.622637560893411	0.644961190246629	0.66134059359333	0.577223972847518	0.619095837880339	0.663373498773408
TCGA-HI-7168-01	0.603859823677058	0.623153445275616	0.631704089903644	0.641184720287149	0.585247174052428	0.602398652921105	0.673146358177722
TCGA-HI-7169-01	0.537909359342401	0.558625294732375	0.576359645600992	0.5672825050597	0.517668330847122	0.538919623163672	0.603368390730417
TCGA-HI-7170-01	0.570079818815359	0.623452033042381	0.607199023839303	0.627048294677032	0.546975868960854	0.601147522156129	0.645831687914108
TCGA-HI-7171-01	0.612733209155533	0.623880887139518	0.640737136216331	0.653346634937714	0.5902731430764	0.59560857215859	0.708290869971105
TCGA-J4-8198-01	0.6171722066055	0.610892406465547	0.651891387364317	0.670580493043614	0.579000247520689	0.589587513317069	0.711366977368342
TCGA-J4-8200-01	0.561325681360888	0.576464178667972	0.608958472036245	0.613242150145588	0.517606455497113	0.557499010275489	0.62382037238261
TCGA-J4-A67K-01	0.586342428229029	0.620804004726773	0.646844560331639	0.649962398309346	0.562001944943602	0.597876670640253	0.677316398022409
TCGA-J4-A67L-01	0.591048729121668	0.617075702495824	0.649517916598222	0.655988011066863	0.568888838017047	0.599491933115512	0.681192270551885
TCGA-J4-A67M-01	0.566317468349415	0.598525387714504	0.628478715629333	0.638599850999741	0.548622161339458	0.579457276707242	0.650281792054166
TCGA-J4-A67N-01	0.548428582773139	0.58815067481809	0.612869642631407	0.622365980331199	0.535927150046546	0.563210848313979	0.655368077939218
TCGA-J4-A67O-01	0.556371105062911	0.571880538392723	0.613298763219058	0.611061466811004	0.52440836037811	0.560100535346074	0.633149964947659
TCGA-J4-A67Q-01	0.555184862887999	0.580393361450463	0.612100998788021	0.619596360683452	0.527449090663479	0.574552466015429	0.618348417352141
TCGA-J4-A67R-01	0.583927673904651	0.612739616102454	0.647086371401958	0.648245956293408	0.564853197943136	0.585037257649161	0.68204990475708
TCGA-J4-A67S-01	0.590073544934986	0.601279758256368	0.648619049727747	0.651864333856993	0.561464575475605	0.582600893529666	0.682411771265017
TCGA-J4-A67T-01	0.613659640744126	0.626027057506557	0.657714210906999	0.672431283045296	0.57657770861954	0.603714281097512	0.696397208396555
TCGA-J4-A6G1-01	0.575984579905553	0.624858233362583	0.630271316312221	0.643181626960873	0.563502213231091	0.598769223249019	0.663413056336967
TCGA-J4-A6M7-01	0.597174205518454	0.613374479358178	0.636912629749582	0.642887625110729	0.571175522210699	0.579173479819197	0.69707665719333
TCGA-J4-A83I-01	0.57921233098146	0.607751520912747	0.63541698145981	0.64886316293412	0.567683351880458	0.579825244097228	0.68751518155599
TCGA-J4-A83J-01	0.605175956875218	0.606697640432623	0.661326370752666	0.678518215075351	0.560056895880721	0.596374863528024	0.679515891872292
TCGA-J4-A83K-01	0.627780997462343	0.636257325981303	0.679746569838315	0.678105138521374	0.596515363454754	0.607058676790629	0.722354577063962
TCGA-J4-A83L-01	0.616743565099678	0.617280778668801	0.661658485876804	0.670346240071544	0.567412565972416	0.596352215499734	0.687961523336683
TCGA-J4-A83M-01	0.60023823771429	0.619990857093181	0.664811764712141	0.680932537154166	0.57107202007424	0.605602001960602	0.685050391429465
TCGA-J4-A83N-01	0.612482205458541	0.62694382132838	0.673426538454968	0.687503788460657	0.57334110239927	0.602124662427084	0.71546057202404
TCGA-J4-AATV-01	0.561773358927865	0.624524144716477	0.605962497797849	0.61405149791824	0.545065995776787	0.596062861448133	0.620510000165155
TCGA-J4-AATZ-01	0.603213480026002	0.624767906291061	0.657774786500192	0.663118236149715	0.590990292118653	0.601831171616579	0.690099711157258
TCGA-J4-AAU2-01	0.604620048376163	0.610292434620652	0.655136729800678	0.657267533390993	0.547296572228026	0.592333396334954	0.663708032121759
TCGA-J9-A52B-01	0.606535218933211	0.625039001549493	0.627118947217918	0.630371464428869	0.612518467860519	0.588777924294617	0.709802111870229
TCGA-J9-A52C-01	0.59318631517072	0.631890291709162	0.643325089822337	0.643823778708087	0.578422754804917	0.609776190697907	0.670169625198514
TCGA-J9-A52E-01	0.579537108388176	0.615498945171602	0.601530749187613	0.608655709723225	0.594855765361676	0.588185798483295	0.663059105933572
TCGA-J9-A8CK-01	0.609359820810273	0.636265587066979	0.65544773184829	0.659981378000916	0.591032382795993	0.612356310750683	0.710871785427077
TCGA-J9-A8CL-01	0.617236188417669	0.622247860590617	0.658702567784171	0.655831147960518	0.579083258437059	0.609577964070202	0.68934960095673
TCGA-J9-A8CM-01	0.600041826372228	0.63680200882082	0.651081314112232	0.656414568939274	0.59221895248229	0.617196639190903	0.694267767004528
TCGA-J9-A8CN-01	0.563071262723235	0.568445959724335	0.630351237360109	0.6382960445281	0.512866068137406	0.570270993316794	0.626647003224049
TCGA-J9-A8CP-01	0.585576848661772	0.606080304338783	0.637555895244494	0.653608943556227	0.558001733875962	0.584836396337824	0.678941126869677
TCGA-KC-A4BL-01	0.624059928935776	0.651983685857554	0.656681439845769	0.674430596199338	0.591074030524297	0.633191362581733	0.691387245171624
TCGA-KC-A4BN-01	0.625534274894409	0.631199655182496	0.675385163800636	0.694949886278265	0.581862062803765	0.608995798705734	0.720937594158743
TCGA-KC-A4BV-01	0.599201152816183	0.614805620365004	0.652814314260906	0.656207986565235	0.585473263175044	0.599105139035251	0.695222797922488
TCGA-KC-A7F3-01	0.618407530691529	0.638161144713814	0.67904960770552	0.690265856747435	0.577252117354686	0.627285639933839	0.690438754442117
TCGA-KC-A7F6-01	0.620420100117102	0.653388335931517	0.670455561523959	0.679308122141959	0.596217662701034	0.632034923679567	0.712783364968666
TCGA-KC-A7FA-01	0.589472551156899	0.605950421313167	0.63589909965356	0.638557138177746	0.558376783128046	0.589355392852443	0.648638080550552
