TCGA_barcode	GI1	H4	HS683	NMCG1	SNU738	SW1088	SW1783	TM31
TCGA-DU-6401-01	0.508684474458628	0.549637246941216	0.512072335290848	0.513457615595869	0.5075518517355	0.510818966053235	0.511257560608866	0.515850617298103
TCGA-DU-6402-01	0.618205486932465	0.633246987630738	0.656593625489031	0.662919882984846	0.56674251894593	0.636215777971576	0.650703534270655	0.640368618132326
TCGA-DU-6403-01	0.535190946000034	0.567011364326084	0.548749094519708	0.568687273121912	0.52554777907347	0.543429138769679	0.545754056992135	0.562321300992873
TCGA-DU-6404-01	0.514407972059884	0.562871877024786	0.525089439309633	0.53897365941604	0.533836524148247	0.52169517021155	0.528933182962785	0.529715821384572
TCGA-DU-6405-01	0.585087446744864	0.60929044403875	0.609084770299083	0.623490404427419	0.559975112812172	0.595433577533166	0.605043022093849	0.613194673723807
TCGA-DU-6406-01	0.593539452759043	0.61684669017643	0.622045680705491	0.634749116703299	0.569599976967473	0.606679946981553	0.618667102844172	0.612904037952137
TCGA-DU-6407-01	0.508331568499891	0.554060864934735	0.521702569458515	0.52921534653432	0.507980459378625	0.51214437887467	0.516281976584227	0.524715561312235
TCGA-DU-6408-01	0.500931112032263	0.539095892891767	0.515021134145851	0.524541439957239	0.491440221920035	0.511324829752497	0.505649149391637	0.518001261882152
TCGA-DU-6410-01	0.505640603372452	0.54000443101703	0.502841754616293	0.521758038646073	0.488856357449502	0.502146678378491	0.499888974069996	0.503688719908298
TCGA-DU-6542-01	0.518792197437331	0.558100445880686	0.525193815565866	0.535349782873961	0.49550793487122	0.5278190548691	0.521203554527242	0.528639987013314
TCGA-DU-7006-01	0.610546131772012	0.630083672359438	0.644072479480756	0.655223229575382	0.575575743287062	0.624318597329378	0.629244753281028	0.636275048895249
TCGA-DU-7007-01	0.586561932317221	0.613867234055705	0.615078545701485	0.59066126406997	0.544322964397197	0.599032093832683	0.607821026781017	0.590642569786756
