TCGA_barcode	8305C	8505C	BCPAP	BHT101	CAL62	FTC133	FTC238	ML1	SW579	TT	TT2609C02
TCGA-EL-A3TA-01	0.542113852369229	0.539129545367243	0.559761759564091	0.521846398641192	0.509654627576803	0.542011991445279	0.523110649939888	0.641349273583909	0.535467124253861	0.442793348775725	0.534215387131319
TCGA-EL-A3TB-01	0.563798101116824	0.553941618024253	0.584227745152856	0.534500901727548	0.527178804468061	0.568432973630283	0.543123942974919	0.656112311107473	0.553513681111605	0.464077996238507	0.545195445945413
TCGA-EL-A3ZG-01	0.568446507103065	0.563918390178994	0.573694259905092	0.541766053393836	0.538647105962121	0.578344362083651	0.548376823153816	0.655827079709458	0.563968406220772	0.466444429647221	0.568037004163369
TCGA-EL-A3ZH-01	0.535529842955264	0.534044082818574	0.553216964266169	0.520334918766888	0.515983646592973	0.536430177839536	0.529294621966557	0.627173695570705	0.528852772472733	0.457484070559514	0.519417255523358
TCGA-EL-A3ZK-01	0.594889587816239	0.594269380305492	0.617655479058597	0.588679894979565	0.557018977515242	0.606451810027298	0.581710739065831	0.671805443881094	0.567015018346891	0.476153613882874	0.589132526711771
TCGA-EL-A3ZL-01	0.572022645052915	0.569823188999149	0.597626687074627	0.559641348112145	0.547710086562352	0.570498809308004	0.554652798752772	0.663154821272498	0.572422188251879	0.462993793302869	0.562344079226623
TCGA-EL-A3ZM-01	0.594905313530492	0.583179883560989	0.610357326256912	0.579439939070785	0.539855136833505	0.599813471561638	0.568050690717998	0.655130830540251	0.578772604082932	0.439880039817052	0.587184783514093
TCGA-EL-A3ZN-01	0.537801100346783	0.537040904827185	0.565692198124157	0.526470389180234	0.526546968865431	0.537374225226967	0.526510360606394	0.634135649833582	0.539086702780005	0.456681175163441	0.527404467821262
TCGA-EL-A3ZO-01	0.596145319071304	0.580940114900604	0.60909738506359	0.57530226674749	0.532352079572363	0.597029031731534	0.567787829148769	0.666346157292332	0.572915388159463	0.456754911659375	0.5763875454424
TCGA-EL-A3ZP-01	0.595520882860407	0.587113786079256	0.611773137249055	0.577183841775152	0.54261116066808	0.5846289751561	0.567525173152853	0.676389714654507	0.571869509727563	0.46768672154524	0.584958844043072
TCGA-EL-A3ZQ-01	0.507764904246985	0.500250207679893	0.532988828984309	0.495797586852484	0.49051415819588	0.513140457264301	0.486050255401738	0.597085251908579	0.490068068109182	0.414049468077707	0.5004524182513
TCGA-EL-A3ZR-01	0.506510399651126	0.513607100851308	0.529123747979618	0.493600167384885	0.516534441289285	0.511153465515628	0.500563499505691	0.606290077415544	0.50815667919422	0.452607473642526	0.506861804499779
TCGA-EL-A3ZS-01	0.578303660887727	0.57809752117013	0.596498048383667	0.565916957376592	0.547650195767562	0.580175953197397	0.565072741382473	0.682155534214338	0.563906912278575	0.485847139409553	0.569434894001714
TCGA-EL-A3ZT-01	0.56703789973429	0.571144725660736	0.59285152255098	0.565806051512616	0.549877212124819	0.560202286969814	0.553660664653494	0.660861231048547	0.555943523738498	0.467996968909915	0.567087497462378
TCGA-EL-A4JV-01	0.521270719350737	0.51832985928072	0.538387207419754	0.500810938025331	0.517993122010007	0.52447792030723	0.513222708075222	0.630460500792707	0.528051776926945	0.477000606420477	0.520506933390797
TCGA-EL-A4JW-01	0.606335204754837	0.604055198258194	0.609152977561282	0.577900304025689	0.562289820905276	0.608168809170255	0.589066384024032	0.702459391673955	0.602075722901025	0.497469029493607	0.599000006224997
TCGA-EL-A4JX-01	0.592362791801453	0.590318254303189	0.615132514552341	0.586523514986943	0.567110028201713	0.594199225462867	0.573485926919672	0.682165218022005	0.563668527791802	0.487293259218788	0.584787512058991
TCGA-EL-A4JZ-01	0.591286554236414	0.583038627193406	0.611753854876	0.568337523938096	0.552010535692969	0.591325905452047	0.567589666806333	0.682387914535562	0.594802923370787	0.473647955704376	0.579533517695128
TCGA-EL-A4K0-01	0.588736342062759	0.579737644968581	0.606037631336799	0.564913442475367	0.545491985910427	0.584924804423078	0.56720676171477	0.679936023952382	0.577588442361309	0.491711839966749	0.570504680901215
TCGA-EL-A4K1-01	0.573991172006026	0.568750359518276	0.594287943822338	0.557527069986687	0.5279361884735	0.583469107254571	0.55185203698671	0.646244991632013	0.567385592116121	0.447216837369734	0.560324480083315
TCGA-EL-A4K2-01	0.539614080812738	0.52616021923992	0.5587928934223	0.514562827900535	0.508209825776685	0.5419121192366	0.525260471161786	0.636126945882782	0.536673738461805	0.442825017278913	0.523319526198544
TCGA-EL-A4K4-01	0.607241494866151	0.590564932306329	0.613567093567968	0.575502565009647	0.550608507089332	0.616478737099035	0.584322008849082	0.682898295013946	0.599924686707753	0.476837818361539	0.595017467666366
TCGA-EL-A4K6-01	0.485069214298284	0.499741865074452	0.529999156056146	0.505241940963524	0.529372673010714	0.491300296335268	0.493632949260798	0.586351279609419	0.486308916623485	0.441176732687317	0.497647479937198
TCGA-EL-A4K7-01	0.565331907195981	0.559221825637766	0.583082359937702	0.558959189549095	0.536623435282929	0.570862444063767	0.550371248490471	0.646079926933741	0.538475932812902	0.444772652723027	0.567131703791799
TCGA-EL-A4K9-01	0.558999496991096	0.554240224681575	0.578758976741543	0.542078254611794	0.526730215649667	0.56167185531445	0.543799626703649	0.665268831793012	0.55230700959355	0.469107014331477	0.555154658868889
TCGA-EL-A4KD-01	0.570875200976911	0.556906539416697	0.584660629354231	0.54181965634113	0.512848415221861	0.57446445968333	0.546212126314441	0.65366274485514	0.563372969785608	0.459397234629135	0.550743264664439
TCGA-EL-A4KG-01	0.58714768682089	0.583878293364433	0.608840311728564	0.57293220614714	0.553022128558543	0.593629348039124	0.568987269662526	0.668382361470271	0.561032869504993	0.464993852241588	0.577601519656423
TCGA-EL-A4KH-01	0.515692783162892	0.509596688350246	0.543385602712802	0.502958654260128	0.506775870577266	0.516967721821455	0.496101633961021	0.611527703076569	0.506411144687012	0.417452139292197	0.506072719779655
TCGA-EL-A4KI-01	0.545370042490328	0.53660640055435	0.555031017585897	0.507270007764969	0.533852787937255	0.547405349008491	0.528653989112432	0.629573261031786	0.550843329629411	0.468508474362876	0.543741631511323
TCGA-EM-A1CS-01	0.565595011813205	0.557868172036349	0.586932426156511	0.546495830613737	0.549153342819013	0.572451370048053	0.554685193224207	0.66235179456321	0.560749530187704	0.493302047299622	0.552105455215191
TCGA-EM-A1CT-01	0.558696627189117	0.559229204373412	0.587722233678246	0.553726957188191	0.540144105897971	0.577006637921153	0.548190559123727	0.648692547253905	0.551838044218673	0.470701966477382	0.564856453688821
TCGA-EM-A1CU-01	0.601804676874591	0.599098397216676	0.612013623066695	0.570901373522239	0.550720353690105	0.589889009109052	0.577694939643688	0.676377645542697	0.577349240772733	0.476223194453518	0.58761212035125
TCGA-EM-A1CV-01	0.556202248767137	0.553979439381534	0.573151177741543	0.54469347290027	0.536153991294136	0.557304853222275	0.542717260383994	0.644914280270966	0.548598163596947	0.46935682816614	0.548242278387462
TCGA-EM-A1CW-01	0.519844995085405	0.506972009903263	0.526851943013293	0.491155241001824	0.494046741922207	0.535155055366762	0.506396380809138	0.621428269465904	0.519257637690699	0.4548095365876	0.513629073197602
TCGA-EM-A1YA-01	0.530085231427567	0.514641761287802	0.537331143979765	0.487504753865882	0.521638289088795	0.550949473594684	0.523373730297171	0.637588997852171	0.54098399311685	0.46738697936546	0.523152284751783
TCGA-EM-A1YB-01	0.507740926496698	0.502339407128284	0.511353251530201	0.473386811981964	0.492702954405142	0.543846364606507	0.498750504054725	0.616492329734995	0.523588573459207	0.449366034253994	0.513470820846596
TCGA-EM-A1YE-01	0.494214337224883	0.481696076021225	0.504741830554135	0.459695650433397	0.48240460242464	0.50298640070263	0.489720654992744	0.595202260900549	0.510068121715056	0.420152274297896	0.477025192487218
TCGA-EM-A22I-01	0.600602490094826	0.596496343461843	0.61077798758418	0.575677982584971	0.549844777689754	0.608289481008317	0.578930435304296	0.684753292125581	0.583439503457637	0.496123904868495	0.58904956164949
TCGA-EM-A22J-01	0.542072723230261	0.536187784614361	0.551279244708893	0.505033636271679	0.522048413265357	0.556365350925162	0.532017443047222	0.641103390798316	0.5510261219616	0.485480406410986	0.532498789904591
TCGA-EM-A22K-01	0.534352851444821	0.529509894313569	0.557403661731839	0.515655347097651	0.519345589923918	0.539203001574	0.528287026812759	0.639455899495728	0.534883814628723	0.475953526174761	0.528899737731458
TCGA-EM-A22L-01	0.533761548550314	0.52922504702537	0.551030061828668	0.51236062156571	0.524172103035733	0.540009314164663	0.529671990081725	0.632846175432732	0.545281210298425	0.493404410616483	0.532112782173781
